OPEN_DATE;OPEN_TIME;CLOSE_DATE;CLOSE_TIME;OPEN;HIGH;LOW;CLOSE;VOLUME;DELTA;ASK;BID;EXPIRATION
10.12.2013;18:00;10.12.2013;22:00;97.80;98.57;97.80;98.45;83606;4286;43946;39660;01-14
10.12.2013;22:00;11.12.2013;02:00;98.46;98.64;98.32;98.75;8021;623;4322;3699;01-14
10.12.2013;22:00;11.12.2013;02:00;98.46;98.75;98.50;98.75;1418;380;899;519;01-14
11.12.2013;02:00;11.12.2013;06:00;98.75;98.74;98.38;98.46;2179;-379;900;1279;01-14
11.12.2013;06:00;11.12.2013;10:00;98.46;98.53;98.33;98.45;2282;-234;1024;1258;01-14
11.12.2013;10:00;11.12.2013;14:00;98.47;98.63;98.35;98.43;6589;-197;3196;3393;01-14
11.12.2013;14:00;11.12.2013;18:00;98.42;98.48;97.66;98.02;73910;-2132;35889;38021;01-14
11.12.2013;18:00;11.12.2013;22:00;97.94;98.19;97.20;97.50;86496;-3246;41625;44871;01-14
11.12.2013;22:00;12.12.2013;02:00;97.51;97.51;97.35;97.38;5152;-298;2427;2725;01-14
11.12.2013;22:00;12.12.2013;02:00;97.51;97.59;97.34;97.38;1286;-8;639;647;01-14
12.12.2013;02:00;12.12.2013;06:00;97.38;97.44;97.31;97.32;993;-159;417;576;01-14
12.12.2013;06:00;12.12.2013;10:00;97.32;97.54;97.31;97.52;1492;236;864;628;01-14
12.12.2013;10:00;12.12.2013;14:00;97.51;97.90;97.36;97.87;8158;268;4213;3945;01-14
12.12.2013;14:00;12.12.2013;18:00;97.87;98.18;97.48;97.71;56204;-1336;27434;28770;01-14
12.12.2013;18:00;12.12.2013;22:00;97.70;97.89;97.34;97.47;53982;-862;26560;27422;01-14
12.12.2013;22:00;13.12.2013;02:00;97.46;97.53;97.34;97.41;4336;-400;1968;2368;01-14
12.12.2013;22:00;13.12.2013;02:00;97.46;97.59;97.33;97.41;1638;286;962;676;01-14
13.12.2013;02:00;13.12.2013;06:00;97.42;97.57;97.35;97.53;1317;-17;650;667;01-14
13.12.2013;06:00;13.12.2013;10:00;97.52;97.62;97.36;97.52;1826;-72;877;949;01-14
13.12.2013;10:00;13.12.2013;14:00;97.52;97.59;96.93;97.09;11855;-899;5478;6377;01-14
13.12.2013;14:00;13.12.2013;18:00;97.09;97.18;96.26;96.41;62130;-2838;29646;32484;01-14
13.12.2013;18:00;13.12.2013;22:00;96.41;97.05;96.30;96.57;74221;2909;38565;35656;01-14
13.12.2013;22:00;14.12.2013;02:00;96.57;96.59;96.39;96.57;4163;143;2153;2010;01-14
15.12.2013;22:00;16.12.2013;02:00;96.80;96.80;96.56;96.77;978;196;587;391;01-14
16.12.2013;02:00;16.12.2013;06:00;96.76;96.79;96.36;96.43;1838;-430;704;1134;01-14
