OPEN_DATE;OPEN_TIME;CLOSE_DATE;CLOSE_TIME;OPEN;HIGH;LOW;CLOSE;VOLUME;DELTA;ASK;BID;EXPIRATION
31.12.2013;22:00;01.01.2014;02:00;98.51;98.69;98.66;98.51;53;-3;25;28;02-14
02.01.2014;10:00;02.01.2014;14:00;98.95;98.95;98.12;98.19;7067;-227;3420;3647;02-14
02.01.2014;14:00;02.01.2014;18:00;98.30;98.22;96.30;96.53;84570;-3100;40735;43835;02-14
02.01.2014;18:00;02.01.2014;22:00;96.55;96.55;95.34;95.54;78379;-273;39053;39326;02-14
02.01.2014;22:00;03.01.2014;02:00;95.55;95.70;95.43;95.42;7688;430;4059;3629;02-14
02.01.2014;22:00;03.01.2014;02:00;95.55;95.50;95.39;95.42;1040;-196;422;618;02-14
03.01.2014;02:00;03.01.2014;06:00;95.43;95.74;95.27;95.35;3539;-531;1504;2035;02-14
03.01.2014;06:00;03.01.2014;10:00;95.36;95.56;95.13;95.54;3432;-160;1636;1796;02-14
03.01.2014;10:00;03.01.2014;14:00;95.55;95.65;95.23;95.55;8306;580;4443;3863;02-14
03.01.2014;14:00;03.01.2014;18:00;95.55;95.56;94.37;94.50;41517;-1219;20149;21368;02-14
03.01.2014;18:00;03.01.2014;22:00;94.46;94.82;93.88;94.20;62281;25;31153;31128;02-14
03.01.2014;22:00;04.01.2014;02:00;94.19;94.28;94.10;94.19;5404;224;2814;2590;02-14
03.01.2014;22:00;04.01.2014;02:00;94.19;94.31;94.20;94.19;290;4;147;143;02-14
05.01.2014;22:00;06.01.2014;02:00;94.29;94.29;94.05;94.18;970;-74;448;522;02-14
06.01.2014;02:00;06.01.2014;06:00;94.15;94.25;93.96;93.98;2916;-114;1401;1515;02-14
06.01.2014;06:00;06.01.2014;10:00;93.97;94.30;93.91;94.29;2648;442;1545;1103;02-14
06.01.2014;10:00;06.01.2014;14:00;94.28;94.59;94.15;94.41;8467;-7;4230;4237;02-14
06.01.2014;14:00;06.01.2014;18:00;94.41;94.44;93.76;93.95;44810;-1538;21636;23174;02-14
06.01.2014;18:00;06.01.2014;22:00;93.97;94.08;93.20;93.62;73813;-43;36885;36928;02-14
06.01.2014;22:00;07.01.2014;02:00;93.66;93.78;93.60;93.67;4667;571;2619;2048;02-14
